n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
1847.6,1995.1,2178.5,2343.4,2507,2692.4,2845,3119.9,3311.8,3438.8,3664.8,3874,3988.8,4189.6,4343.2,4506.4,NaN,NaN,4828.2,NaN,5024.9,5181.7,5356.2,5573.4,5699.4,5811.6,6030.1,6165,6280.4,6490.2,6637.8,6750.7,6930.5,7082.1,7271.6,NaN,NaN,7609.9,NaN,7805,7966.6,8134,8355.1,8476.5,8590.1,8794.8,8944.7,9055.6
1886.3,2075.9,2258.1,2422.4,2576.9,2750.1,2952.1,3193.8,3382.9,3543.8,3734.4,3952.3,4108.8,4290.6,4439.4,NaN,NaN,4763.8,NaN,4975.8,5125.4,5281.5,5535.6,5646.1,5772.5,5930.6,6118,6243.7,6403.2,6567,6717,6870.7,7034.8,7182.4,NaN,NaN,7539.4,NaN,7758,7913.9,8065.1,8311.5,8426,8555.2,8709.3,8868.9,9020.6,9181.1
