n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e
4400.7,4544.4,4702.8,4873.6,5008.3,5239.2,5415.9,5556.6,5751.6,5901.2,6062.4,NaN,NaN,6385.3,NaN,6574.8,6723.7,6892.5,7104.2,7229,7338.9,7542.9,7688.4,7801.4,7992.1,8144.1,8300.8,NaN,NaN,8649.5,NaN,8841.4,8996.8,9169.6,9392.1,9537,9690.3,9817.5
4456.9,4617.5,4764.6,4940.2,5111.6,5306.8,5484,5671.4,5848,5998.7,NaN,NaN,6316.5,NaN,6528.4,6674.6,6816.8,7067.6,7176.8,7303.5,7461,7611.3,7765.2,7921.5,8094.5,8241.1,NaN,NaN,8547.1,NaN,8793,8942.7,9089.1,9348,9459.6,9605.3,9762.9,9935.7
