n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e
1826.3,1980.9,2142,2408.2,2734,2923.9,3050.8,3301.8,3459.3,3584.2,3767.3,3920.6,4116.2,NaN,NaN,4591.1,4747.6,4864.3,5050.5,5203.1,5369.4,NaN,NaN,5710.8,NaN,5905.7,6064.5,6243.3,6487,6603.2,6744.6,6861.3
1870,2052.1,2201.8,2480.5,2807.1,2988.4,3158.4,3390.3,3536.6,3703.6,3874.8,4019.5,NaN,NaN,4366.4,4665.3,4824.8,4986.8,5149.5,5300.7,NaN,NaN,5621.3,NaN,5854.9,6010.5,6163.3,6424.6,6529.9,6676.6,6818.3,6981.2
