n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,n
1993.5,2153.3,2276.8,2510.7,2690.8,2815,3008,3162.6,3325.3,NaN,NaN,3669.6,NaN,3867.5,4023.5,4205.1,4426.4,4555.9,4671,4877.9,5028.9,5143.4,5324.6,5478.7,5660.6,NaN,NaN,6002.4,NaN,6201.4,6361.1,6575.3,NaN,NaN,6919.4,NaN,7112.4,7270,7452.9,7678.3,7802.2,7916.7,8105.9,NaN,8307.9,8466.4,8665.6,NaN,NaN,9024.1,9167.2,9281.8,9472.8,9628.9,9793.2,NaN,NaN,10197,10338,10452,10637,10795,10965,NaN,NaN,11303,NaN,11500,11657,11836,12055,12182,12298,12478,NaN,12679,12837,13026,13254,13386,13497,13710,13849,13966,14154,14311,14480,NaN,NaN,14854,14992,15106,15315,15481,15596,15782,15941,16123,NaN,NaN,16497
2061.4,2220.6,2382.6,2578.7,2761.3,2932,3106.2,3260.2,NaN,NaN,3582.9,NaN,3816.8,3969.2,4126.3,4386.2,4499.4,4633.8,4787.7,4951,5102.8,5265,5427.7,5578.5,NaN,NaN,5913.8,NaN,6149.7,6306.6,6458.3,NaN,NaN,6829.7,NaN,7065.3,7217.4,7373.5,7636.8,7751.7,7881.1,8035.6,NaN,8255.3,8414.6,8563.2,NaN,NaN,8921.4,9093.2,9242.2,9407.4,9577.1,9734.6,NaN,NaN,10050,10270,10419,10574,10740,10892,NaN,NaN,11222,NaN,11449,11607,11755,12015,12128,12256,12421,NaN,12627,12783,12939,13209,13328,13460,13621,13783,13925,14087,14257,14409,NaN,NaN,14739,14929,15069,15228,15389,15557,15718,15882,16048,NaN,NaN,16384,16568
