n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1989.7,2155.4,2495.9,2676.2,2813,3008.4,3157.2,3315.1,NaN,NaN,3647.6,NaN,3848.6,4001.4,4178.7,4390.1,4516.3,4632.4,4849.4,4992.9,5107.2,5286.2,5436.9,5594.8,NaN,NaN,5928,NaN,6122.7,6281.2,6446.3,6660,6789,6902.7,7084.5,NaN,7276.8,7433.1,7595.9,NaN,NaN,7928.1,NaN,8123.2,8279,8448.7,8666,8795.9,8911.5,9105.1,9247.1,9360.2,9580.3,9730.4,9842.5,10030,10183,10364,NaN,NaN,10706,NaN,10905,11058,11233,11451,11579,11691,11875,NaN,12079,12237,12423,NaN,NaN
2071.2,2387.3,2565.8,2748.7,2927.6,3103.2,3255.5,NaN,NaN,3569.1,NaN,3795.4,3946.2,4098.8,4354.6,4479.7,4591.6,4756.5,4918.6,5065.8,5225.8,5381.4,5547,NaN,NaN,5847,NaN,6073.7,6227.6,6380.9,6624.1,6734.6,6867.7,7024.7,NaN,7229.6,7383.9,7529.8,NaN,NaN,7846.8,NaN,8079,8227.7,8386.7,8627.9,8740.4,8875.5,9035.8,9181.4,9322.6,9480.7,9652,9808.8,9961.2,10127,10282,NaN,NaN,10617,NaN,10850,11005,11157,11414,11524,11654,11816,NaN,12024,12185,12338,NaN,NaN,12677
