g,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,n,e,c,x,d,m,p
1515.7,1694.2,1854.5,1994.2,2136.1,2856.8,3019.5,3141.8,3351.2,3467.5,3634.6,3821.8,3975.3,4138.9,NaN,NaN,4478.4,NaN,4675,4826.9,5003.2,5224.1,5353.1,5465.7,5666.7,5812.6,5925.9,6111.7,6265.1,6423.3,NaN,NaN,6757.3,NaN,6953.7,7111.3,7279.3,7499.2,7625.8,7739,7932.7,8086.5,8262.4,NaN,NaN,8623.6,8762.9,8881.6,9088.4,9246.4,9363.6,9546.1,9699.4,9862.5,10087,10214,10327,10535,10678,10793,10972,NaN,11168,11327,11503,NaN,NaN,11864,12010,12124,12313,12475,12666,NaN,NaN,13059,13311,13471,13583,13774,13935,14122,NaN,NaN
1549.2,1752.9,1945.8,2054.6,2237.7,2925.7,3089.2,3251.3,3427.3,3578.1,3752,3914.2,4072.7,NaN,NaN,4401.1,NaN,4623.6,4775.6,4927.1,5183.6,5311.7,5427.1,5590.1,5738.2,5884.5,6047.2,6219.4,6365.8,NaN,NaN,6679.2,NaN,6904.6,7057.9,7210.3,7457.3,7569.4,7698.7,7860.2,8052.5,8185.2,NaN,NaN,8515.5,8694.7,8836.7,9006.4,9164.2,9321.9,9486.2,9648.2,9800,10046,10164,10290,10447,10612,10756,10917,NaN,11117,11271,11427,NaN,NaN,11766,11937,12082,12251,12420,12577,NaN,NaN,12923,13131,13382,13551,13709,13885,14034,NaN,NaN,14381
