n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c
1993,2175.2,2293.5,2510.7,2669.4,2789.3,2980.2,3128.8,3289.4,NaN,NaN,3624.9,NaN,3817.9,3971.3,4135.6,4345.2,4468.6,4579.4,4757.5,4907.7,5064.9,NaN,NaN,5388.8,NaN,5580.1,5734.6,5898.9,6113.6,6232.6,6344,6539.4,6676.6,6788.3,6969.8,7122.9,7280.3,NaN,NaN,7622.6,NaN,7814.9,7973.2,8152.7,8368.5,8493.1,8606.7,8804.8,8952.2,9066.7,9271,9409,9516.5,9694.8,9847.8,10036,NaN,NaN,10358,NaN,10551,10710,10864,11081,11207,11320,11510,NaN,11707
2061.8,2236.5,2400.8,2577.9,2739.6,2940.9,3084.6,3225.3,NaN,NaN,3541.6,NaN,3768.4,3914.1,4066,4311.4,4418.8,4540.9,4705,4857.9,5009.3,NaN,NaN,5318,NaN,5534.2,5688.5,5836.1,6072.6,6185.4,6307.8,6460.9,6611.9,6751.6,6905.8,7074.6,7219.4,NaN,NaN,7532.2,NaN,7763.8,7919.5,8066.6,8330.2,8441.6,8570.1,8729.3,8876.3,9028.5,9186.1,9343.4,9484.6,9637.9,9789.4,9946.9,NaN,NaN,10288,NaN,10502,10671,10808,11044,11169,11281,11436,NaN,11661,11796
