n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n
1986.8,2158.6,2290.2,2505.4,2686,2806.8,2994.9,3144.2,3305.2,NaN,NaN,3625.3,NaN,3817.6,3969.2,4135.3,4349.8,4472.1,4583.6,4770.6,4919.2,5071.8,NaN,NaN,5400.2,NaN,5592.2,5745.4,5906.4,6118.7,6238.7,6353.7,6548.1,6680.1,6786.8,6961.6,7112.9,7274.5,NaN,NaN,7585.4,NaN,7777.4,7933.6,8120.8,8340.6,8463.4,8572.5,8757.4,NaN,8949,9112.9,9270.1,9565.7,9744.4,9859.4,10070
2053.6,2227.3,2392.9,2573.5,2756.2,2920.6,3090.5,3239.3,NaN,NaN,3567.9,NaN,3771,3920.6,4065,4311.6,4420.7,4546.2,4705.3,4872.7,5011.8,NaN,NaN,5321.9,NaN,5543.6,5693.2,5837.2,6084.4,6188.3,6315.5,6472.3,6616.3,6756.4,6905.2,7060.7,7209.9,NaN,NaN,7541.8,NaN,7731.4,7881.4,8028.6,8296.4,8411.6,8533.6,8689.4,NaN,8901.8,9053.5,9210.1,9445.8,9635.2,9819,9988,10142
