n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c
1994,2158.2,2281.6,2598.4,2766.3,2893.6,3078.5,3235.5,3388.5,NaN,NaN,3735.5,NaN,3932.9,4082.5,4264.4,4495.8,4628.2,4745.6,4948,5096.2,5210.3,5418.2,5562.2,5674.9,5855.8,6010.3,6168.6,NaN,NaN,6511.6,NaN,6709.9,6872.1,7035.1,NaN,NaN,7380.4,NaN,7579,7736.7,7912.4,8134.4,8266.2,8380.5,8582.9,8725.5,8839.6,9022.3,NaN,9218.6,9378.5,9551.3,9771.7,9898.4,10011,10196,NaN,10398,10559,10733,10956,11085,11201,11409,11561,11674,11858,12016,12181,NaN,NaN,12516,NaN,12717,12879,13045,13268,13405,13522,13702,NaN,13908,14070,14274,NaN,NaN,14630,14867,15013,15127,15315,15475,15678,NaN,NaN,16060,16266,16382,16567,NaN,16767,16930,17122,NaN,NaN,17499,17654,17770,17967,NaN,18171,18337,18516,18742,18874,18990,19204,19388,19504,19693,NaN,19896
2063.2,2225.8,2391,2670.8,2839.9,3016.6,3176.4,3337.5,NaN,NaN,3651.6,NaN,3885,4031.7,4189.2,4445.6,4584.4,4714.5,4868.9,5023,5171.5,5337.7,5493.3,5643.4,5802.4,5975.3,6123.8,NaN,NaN,6424.7,NaN,6660.2,6814.4,6985.9,NaN,NaN,7303.2,NaN,7529.1,7686.1,7837.8,8100.6,8207.5,8341.8,8492.4,8656.1,8808,8979.9,NaN,9171.4,9324.6,9486.9,9733.3,9856.4,9979.1,10149,NaN,10350,10506,10664,10918,11042,11168,11327,11488,11643,11791,11978,12131,NaN,NaN,12442,NaN,12668,12841,12987,13229,13340,13489,13639,NaN,13854,14015,14180,NaN,NaN,14535,14701,14949,15097,15244,15420,15586,NaN,NaN,15944,16131,16352,16508,NaN,16719,16875,17046,NaN,NaN,17386,17576,17739,17897,NaN,18118,18294,18449,18700,18822,18950,19112,19281,19465,19650,NaN,19844,19960
