n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e
2326.5,2474.1,2910.3,3076.3,3229.2,3381.7,4028.4,4196.5,4326.4,4573.3,4768.7,4901.4,5100.7,5255.6,5422.9,NaN,NaN,5769.1,NaN,5970.8,6134.3,6323.1,6547,6674.2,6791.7,6974.7,NaN,7176.9,7336,7500.6,NaN,NaN,7845.2,NaN,8043.8,8202.4,8376.1,8597.2,8720.5,8835.2,9043.7,9190.2,9303.9,9542.2,9692.4,9805.5
2398.3,2540.6,2986.3,3118.8,3287.9,3486,4091.6,4261.2,4433,4640.7,4837,5016.3,5196.6,5355.9,NaN,NaN,5676.8,NaN,5918.5,6073.2,6231,6500.9,6630.7,6752.7,6907.6,NaN,7125.2,7281.9,7447.5,NaN,NaN,7760.1,NaN,7995.5,8148.8,8297.8,8556,8671.4,8796.9,8959,9114.7,9269.2,9423.5,9613.5,9771.5,9933.2
