n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n
1860.2,1991.7,2140,2309,2449.9,2748.1,2933.6,3064.8,3257.6,3408,3565.5,NaN,NaN,3905.7,NaN,4095.6,4248.2,4416.5,4631.4,4760.4,4873.8,5054.8,5208.5,5363.4,NaN,NaN,5683.5,NaN,5876.6,6028.3,6194.5,6407.4,6532.7,6642.2,6825.7,6978.2,7135.1,NaN,NaN,7496.3,NaN,7686.2,7840,8006.8,8221.1,8345,8453.3,8634.8,NaN,8827.1,8984.7,9144.5,9359.1,9486.4,9609,9882
1907.4,2061.9,2197.9,2375.1,2555.8,2815.1,3001.8,3183.9,3355.6,3502.1,NaN,NaN,3820.6,NaN,4050.5,4193.4,4347.4,4594.1,4704.2,4834.3,4995.5,5165.4,5307.4,NaN,NaN,5620.8,NaN,5829.2,5973.3,6125.4,6370.9,6491.9,6607.8,6761.2,6929.3,7077.7,NaN,NaN,7396.4,NaN,7637.9,7791.8,7947,8183.6,8291.8,8419.2,8572.2,NaN,8783.3,8934.4,9084.7,9322.9,9445.8,9560.6,9728,9950.8
