n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c
1985.4,2147.5,2282.5,2509.3,2668.9,2787.4,2991.7,3147.7,3302.6,NaN,NaN,3632.6,NaN,3827,3981.1,4158.6,4369.2,4492.9,4603.8,4779.2,4932.3,5112.3,NaN,NaN,5442.7,NaN,5634.1,5789.8,5955.6,6173,6294.4,6403.8,6593.8,6746.4,6902.6,NaN,NaN,7244.7,NaN,7437.1,7593.5,7764.1,7982.6,8108.7,8223.1,8401.9,8555.5,8718.6,NaN,NaN,9051.7,NaN,9245.4,9401.8,9566.3,9785.8,9913.5,10022,10203,NaN,10398,10555,10719,10936,11059,11171,11369,11514,11627,11804,NaN,11998,12156,12321,12540,12665,12777,12957,NaN,13150
2052.9,2219.2,2394.4,2578.3,2745.5,2904.2,3088.4,3246.8,NaN,NaN,3554.6,NaN,3779.8,3932.4,4074,4334.3,4442.8,4565.1,4716.8,4880.8,5032.3,NaN,NaN,5365.3,NaN,5588,5733.2,5887.8,6129.5,6247.4,6371.9,6525.6,6696.2,6842.2,NaN,NaN,7163.2,NaN,7390.2,7542.2,7691.2,7941.5,8076.7,8183.4,8341.4,8504.8,8655.1,NaN,NaN,8972.6,NaN,9196,9347.2,9499.7,9747.5,9860.2,9987.8,10135,NaN,10352,10501,10653,10893,11008,11135,11293,11441,11590,11750,NaN,11951,12099,12252,12506,12612,12744,12898,NaN,13101,13247
