n,n,n,n,e,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1963.5,2130.1,2388.5,2573.1,2696.7,3271.9,3435.4,3568.2,3788.3,3956.9,4076,4266.5,4417.1,4575.2,4663.7,4906.9,NaN,5103.5,5262.8,5441.8,5662.8,5787.8,5905.8,6114.2,6262.2,6375.3,6571.3,6723,6892.2,NaN,NaN
2027.2,2193.6,2457.6,2633.5,2799.5,3372.9,3507,3680.9,3861.1,4032.2,4193.7,4368.7,4514.4,4637.1,4821,NaN,5053.8,5211.8,5361.4,5619.2,5751.6,5864.5,6028.3,6187.9,6338.6,6497.6,6666.8,6822.4,NaN,NaN,7141.8
