n,n,n,e,n,e,c,x,n,e,a,b,c,x,g,n,n,e,c,x,e
4035.8,4555.3,4726.7,4847,5061.4,5323.2,5508.3,5654.5,5808.7,5897.5,6127.8,NaN,6316.2,6467.7,6639,6854.6,6977.9,7086.9,7280.5,7429.6,7584.1
4105.3,4623.7,4798,4960.4,5278.5,5436.3,5601.9,5750.6,5872.4,6047.4,NaN,6269.4,6413.8,6571.7,6814.9,6925.3,7052.3,7203.5,7378.4,7522.5,7823.8
