n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c
1850.3,1988.9,2143.2,2311.2,2466,3232.6,3387.6,3523.6,3739.2,3924.3,4050,4261.1,4415,4572.4,NaN,NaN,4907.1,NaN,5105.7,5259.5,5440.7,5657.5,5788.6,5901.5,6113.3,6266.6,6381.1,6578.1,6732.4,6888.5,NaN,NaN,7228.3,NaN,7426.2,7585.6,7753.2,7974,8102.8,8217.6,8426.1,8575.6,8699.8,8886.5,NaN,9089.3
1891.2,2058.1,2202.1,2379.5,2572.3,3299.3,3457.8,3637.8,3809.1,3998.4,4163.9,4360,4513,NaN,NaN,4833.1,NaN,5056.7,5208.1,5359.2,5622.4,5731.2,5864.4,6025.7,6186.2,6342.4,6503.5,6681.3,6832.5,NaN,NaN,7150.4,NaN,7378.8,7528.6,7682.9,7934.5,8047.8,8183.1,8342.2,8497.9,8652.1,8828.5,NaN,9038.4,9168.4
