n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x
1696.2,1833.9,1989.7,2161.5,2302.2,2870.8,2976.7,3175,3402.2,3611.7,3731.6,3919.7,4074.4,4232.3,NaN,NaN,4573.1,NaN,4769.8,4926,5099.5,5320.9,5448.2,5563.4,5765.3,5911,6027.1,6209.4,6365.6,6529.3,NaN,NaN,6884.1,NaN,7082.3,7241.6,7409.6,7628.5,7760.5,7877.9,8061.4,NaN,8259.4,8417.5,8583.6,8806.3,8935,9049.5,9237.6,NaN,9435.4,9593
1735.1,1894.7,2049.6,2225.1,2402.8,2941.2,3108.6,3284,3471.5,3685,3857.7,4018.6,4171.7,NaN,NaN,4488.4,NaN,4721.8,4874.5,5023.7,5281.5,5394.2,5521.8,5687.3,5840.1,5988.3,6145,6316.1,6467.7,NaN,NaN,6788.3,NaN,7034.3,7190.4,7341.3,7594.3,7701.2,7839.9,8003.4,NaN,8213.1,8367.4,8519.3,8766.1,8882.2,9012.8,9176,NaN,9389,9543.2,9694.2
