n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a
1989.2,2176.8,2283.2,2538.4,2716.6,2832.5,3271.1,3427.5,3552.3,3731.1,3878.2,4028.4,NaN,NaN,4354.5,NaN,4545.2,4698.5,4863.2,5080.2,5204,5315.2,5528.4,5682.2,5793.8,5977.2,6125.8,6288.3,6503.2,6629.8,6748.7,6932.9,7085.4,7242.6,NaN,NaN,7563.4,NaN,7755,7912.4,8080.2,8297,8420.7,8533.2,8735.8,8876.1,8988.9,9174.3,9325.6,9498.8,NaN,NaN,9840
2059.3,2260.2,2384.8,2610.2,2788.7,2951.1,3343.8,3500.6,3675.4,3834.2,3971.8,NaN,NaN,4281.4,NaN,4498.2,4650,4791.5,5039.8,5155.3,5277.8,5437.8,5600.4,5755.8,5917,6079.2,6221.8,6467.2,6579.8,6702.3,6866.8,7038.1,7185.2,NaN,NaN,7501.4,NaN,7710.7,7858.6,8007.8,8263.7,8378.6,8497.8,8653.5,8802.6,8949,9109.6,9279.2,9425.4,NaN,NaN,9754.2,9990.6
