n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,e,n,n,e,n,n,e,c,x,d,m,p,n
1848.3,1984,2147.9,2303.1,2858.2,3041.2,3173.2,3392.8,3575.6,3702.3,3895.1,4055.1,4218.1,NaN,NaN,4575.8,NaN,4774.9,4938.2,5217.3,5367.8,5494.8,5616.5,5838.9,6033.1,6154,6356.1,6513.8,6686.6,NaN,NaN,7124.7
1908,2050.6,2214.1,2412.3,2930.7,3110.9,3285.1,3466.1,3648.4,3823.7,3998.5,4158.4,NaN,NaN,4481.5,NaN,4725.7,4874.9,5039.8,5325.2,5443.8,5574.4,5740.8,5915.7,6109,6278,6463.8,6614.2,NaN,NaN,6955.8,7192
