n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e
1955.1,2092.2,2257.5,2379.2,2596.4,2713.8,2889.3,3078.3,3235.3,3436.1,NaN,NaN,3794.9,NaN,3993.2,4146.5,4348.2,NaN,NaN,4685,NaN,4882.8,5043.3,5207.9,5431.8,5556.7,5667.7,5876.4,6025.6,6144.9,6330.6,6487.7,6653.1,6743.4
2046.8,2167.3,2324.7,2484.9,2662.3,2841.4,3009.4,3180.5,3333.2,NaN,NaN,3693.5,NaN,3943.2,4095.4,4249.1,NaN,NaN,4605.1,NaN,4832.9,4990.3,5144.5,5393.4,5501,5631.8,5788.4,5951.3,6101.2,6269.3,6428.7,6590.1,6716.8,6799.2
