n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,d,m,p,a,b,c,x,d,m,p,n,n,e,n
2245.7,2425.3,2547.1,2789.6,2959,3085.3,3276.8,3430.2,3587.9,NaN,NaN,3929.3,NaN,4126.8,4282.4,4452.9,4673.6,4806.2,4920.3,5134.8,5301.5,5414.8,5605.5,5760.5,5918.3,NaN,NaN,6244.5,NaN,6440.8,6598.8,6769.4,6988.9,7115.5,7228,7434,7573.7,7685.8,7869.4,8027.5,8193.1,NaN,NaN,8526.2,NaN,8720,8878,9057.1,9274.7,9400.7,9512.6,9703.7,NaN,9900.8,10060,10250,NaN,NaN,10604,10743,10858,11044,11202,11367,11589,11716,11829,12022,NaN,12221,12381,12551,12773,12902,13017,13206,NaN,13404,13566,13738,NaN,NaN,14108,14254,NaN,NaN,14556,NaN,14755,14919,15111,NaN,NaN,15495,15655,15774,16009
2322.2,2493.3,2660.5,2861.9,3033.5,3206,3382.4,3534.8,NaN,NaN,3849.9,NaN,4080.2,4225.1,4382.5,4634.2,4751.2,4881.2,5042.5,5213.1,5376.8,5537.4,5706.2,5862.2,NaN,NaN,6171.9,NaN,6390.6,6538.3,6697.9,6950.5,7063.3,7194.5,7350.8,7515.6,7648.3,7807.1,7990.4,8143.7,NaN,NaN,8453.2,NaN,8672.2,8846.7,8987.6,9234,9357.3,9482.2,9639.9,NaN,9852.3,10020,10180,NaN,NaN,10507,10672,10824,10983,11152,11316,11550,11663,11797,11960,NaN,12168,12328,12495,12734,12855,12986,13139,NaN,13354,13511,13677,NaN,NaN,13996,14180,NaN,NaN,14513,NaN,14706,14863,15021,NaN,NaN,15374,15566,15728,15898,16079
