n,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1776.8,1955.1,2133.9,2301.2,2571.3,2749.2,2887.6,3945.4,4102.6,4226.4,4451.8,4653.9,4776.5,5083.4,5268.3,5385.2,5579.1,5734.1,5895.5,NaN,NaN,6220.6,NaN,6418.1,6572.9,6748.7,7075,7216.9,7331.6,7518.3,7672,7829.7,NaN,NaN,8163.8,NaN,8365.8,8518.9,8698.9,8916.3,9169.6,9307.8,9420.2,9629.3,9766.4,9877.8,10070,10223,10386,NaN,NaN,10717,NaN,10911,11067
1807.3,2020.4,2199.9,2358.8,2642.9,2814,2991.6,4035.6,4173.9,4339,4520.4,4723.8,4896.4,5155.7,5344.6,5507,5682.8,5826.3,NaN,NaN,6157.4,NaN,6371,6524.1,6669.5,6932.7,7153.7,7293.3,7455.8,7638.2,7770.9,NaN,NaN,8095.6,NaN,8314.4,8465.9,8638.8,8877,8994.7,9253.1,9388.1,9557.4,9704.9,9841.6,10003,10173,10326,NaN,NaN,10649,NaN,10867,11020,11168
