n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c
1957.5,2122.2,2385.1,2573.4,2703.5,3215.7,3393.4,3509.2,3723.2,3882.7,3998,4179.7,4331.7,4491,NaN,NaN,4817.5,NaN,5013.1,5166.9,5798.8,5968.7,6090.1,6270.1,6422.7,6578.2,NaN,NaN,6909.8,NaN,7106.3,7262.4,7448.6,7664,7793.4,7902.4,8103.7,8247.8,8356.3,8535.1,8690.2,8868.4,NaN,NaN,9249.5,NaN,9445.1,9604.2,9796.4,10017,10142,10261,10448,NaN,10644,10800,10981,11197,11321,11436,11616,NaN,11811,11970,12141,12358,12487,12601,12854,13000,13111,13301
2030.7,2184.5,2456.7,2639.3,2809.3,3286.8,3464.1,3626.5,3796.7,3958.9,4117.8,4280.4,4431.3,NaN,NaN,4744.8,NaN,4965.9,5113,5264.2,5873.3,6044,6212.7,6372.5,6521.9,NaN,NaN,6835.6,NaN,7055.3,7206.8,7362.5,7622,7736.7,7870.3,8025.1,8176.7,8322.3,8477.5,8635.9,8788.4,NaN,NaN,9123.5,NaN,9396.9,9552.3,9703.3,9978.1,10092,10220,10384,NaN,10596,10743,10900,11160,11268,11399,11557,NaN,11766,11911,12071,12321,12431,12560,12725,12923,13073,13231,13399
