n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c
1816.6,1956.3,2136.1,2409.2,2602.1,2749.9,3064.3,3237.8,3363.7,3581.4,3758.6,3888.2,4087.8,4244.9,4414,NaN,NaN,4762,NaN,4961.2,5119.1,5296.4,5519.7,5650.1,5764.8,5968.8,6112.9,6232.6,6412.5,6568.5,6727.5,NaN,NaN,7067.1,NaN,7262.9,7423,7605.1,7823.3,7951.1,8065.8,8254.4,NaN,8454.3,8614.4,8795.9,9016.9,9146,9258.6,9442.8,9599.7,9759.2,NaN,NaN,10100,NaN,10301,10460,10627,10846,10973,11086,11298,11446,11564,11785,11924,12040,12218,12375,12536,NaN,NaN,12898,13039,13155,13335,13490,13683,NaN,NaN,14020,NaN,14221,14382,14565,NaN,NaN,14927,15077,15192,15382,NaN,15585,15751,15941,16166,16291,16409,16596,NaN,16798,16959,17151,17376,17502,17618,17802,NaN,18005
1880.2,2033.9,2182.9,2483.7,2665,2858.2,3141,3309.8,3476.8,3658.4,3833.1,4000.5,4194.7,4345.1,NaN,NaN,4672.1,NaN,4907.8,5076.5,5218.8,5478.8,5605.2,5727,5884.8,6056.8,6191.5,6355.8,6514.9,6675.4,NaN,NaN,6985.8,NaN,7213.9,7387.8,7534.2,7786,7910.7,8032.8,8193.1,NaN,8404.2,8576.2,8727.6,8978.5,9104.5,9226,9394,9565.8,9711.6,NaN,NaN,10024,NaN,10245,10408,10573,10806,10929,11052,11208,11369,11530,11685,11858,12006,12170,12338,12485,NaN,NaN,12795,12967,13117,13265,13437,13603,NaN,NaN,13943,NaN,14171,14326,14491,NaN,NaN,14826,14998,15160,15323,NaN,15534,15711,15872,16125,16254,16372,16533,NaN,16747,16894,17070,17333,17451,17585,17740,NaN,17954,18105
