n,n,n,n,n,e,n,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e
2809,2961.4,3097.1,3259.3,3419.2,3546.5,3889.1,4018.8,4220.2,4351.8,4585.8,4871.7,5062.8,5190.5,5403.1,5554,5721.4,NaN,NaN,6059.7,NaN,6252.9,6408.1,6579.9,6801.3,6927.9,7041.1,7258.7,7410.7,7523.9,7728.6,7901.3,8017.8,8200.9,8353.2,8526.3,NaN,NaN,8874.2,NaN,9069.4,9233.2,9403.4,9625.6,9754.8,9869.7,10096,10240,10353,10540,NaN,10733,11023,11182,11302,11503,11655,11828,NaN,NaN,12163,NaN,12363,12527,12699,NaN,NaN,13047,13194,13313,13532,13685,13801
2881,3033.4,3211.4,3331.9,3485.4,3650.4,3966.8,4117.6,4283.2,4460.8,4680.4,4947.2,5136.3,5306.3,5497.9,5651,NaN,NaN,5981.3,NaN,6206.3,6359.4,6508.1,6762.9,6877,7002.3,7174.3,7331.2,7487.1,7644.7,7806.5,7981.2,8141.2,8297,8451.4,NaN,NaN,8803.2,NaN,9020.5,9168.8,9328.6,9583.5,9698.7,9830.7,9988.6,10170,10317,10473,NaN,10685,10837,11096,11261,11423,11596,11754,NaN,NaN,12084,NaN,12314,12474,12625,NaN,NaN,12951,13117,13271,13434,13605,13763,13875
