n,n,g,n,O,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e
3385.6,3523.3,3779.4,4096.8,4339.8,5198.3,5297.5,5470.8,5635.8,5762.3,6005,6171.3,6316.7,6543.3,6711.2,6836.2,7026.1,7179.8,7335.2,NaN,NaN,7711.2,NaN,7906.1,8059.8,8220.1,8436.1,8560.5,8673.3,8873.3,9019.3,9134,9318.6,9473.9,9637.2,NaN,NaN,9968.1,NaN,10160,10319,10482,10703,10829,10939,11135,11294,11405,11612,11751,11867,12072,12216,12328,12510,12665,12832,NaN,NaN,13210,13343,13462,13666,13816,13956
3490.8,3650.6,3907.5,4288.8,4405.6,5253.1,5410.1,5538.5,5699.9,5871.9,6099.4,6243.7,6432.4,6618.3,6785.1,6952.3,7134.1,7276.3,NaN,NaN,7594.6,NaN,7860.5,8008.1,8155,8398.3,8511.4,8634.1,8796.4,8947.2,9093.8,9257.7,9427.7,9573.9,NaN,NaN,9891.2,NaN,10114,10267,10413,10662,10774,10905,11062,11205,11373,11529,11687,11824,11989,12145,12288,12472,12613,12762,NaN,NaN,13090,13287,13420,13587,13740,13892,14074
