n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p
2204.2,2385.7,2567,2724.3,2869,3184.4,3360.8,3481,3700.7,3830.5,4011.3,4188.8,4338.5,4489,NaN,NaN,4818.5,NaN,5009.1,5159.8,5323.1,5538.1,5662.5,5776.5,5970.9,6118.6,6279.7,NaN,NaN
2236,2449.1,2650.6,2787,2977.8,3252.4,3431.8,3592.9,3785,3921.3,4131.3,4290.3,4436.5,NaN,NaN,4741.2,NaN,4960.2,5107.9,5250.6,5500.1,5625.2,5742.2,5895.8,6085.8,6229.8,NaN,NaN,6547.9
