n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n
1419.8,1973,2121.7,2267.5,2429.5,2558.6,2850.9,3031.8,3160.8,3377.6,3535.7,3656,3848.2,4005.1,4162.7,NaN,NaN,4495.7,NaN,4694,4849.5,5034.6,5254.7,5381,5496.5,5704,5860.9,5974,6157.5,6315.1,6484.6,NaN,NaN,6833.9,NaN,7029.2,7187.7,7369.4,7589.7,7718.1,7830.8,8028.6,8172.8,8284.4,8470.7,8629.3,8789.2,NaN,NaN,9128.4,NaN,9324.3,9482.8,9652.1,9873,10001,10112,10302,NaN,10498,10661,10831,NaN,NaN,11184,11328,11444,11626,NaN,11826,11985,12155,12376,12505,12624,12809,NaN,13007,13167,13347,13569,13698,13811,14019,14173,14284,14474,NaN,14673,14833,15040,NaN,NaN,15411
1462.6,2042.6,2202.5,2340.4,2497.8,2666.9,2921,3103.8,3273.3,3451.6,3613.2,3782.5,3958.7,4102.5,NaN,NaN,4421.6,NaN,4645.9,4795.4,4948.2,5213.7,5330.1,5460.8,5621.5,5776.2,5936.3,6097.4,6283.5,6429.7,NaN,NaN,6741.5,NaN,6984.1,7148.1,7285.5,7551.9,7666.9,7800.2,7953,8103.7,8252.9,8406.9,8597.3,8728.5,NaN,NaN,9046.9,NaN,9274.3,9427.3,9583,9836.5,9952.5,10079,10235,NaN,10448,10627,10763,NaN,NaN,11090,11258,11407,11569,NaN,11777,11954,12084,12338,12452,12580,12754,NaN,12956,13115,13268,13531,13659,13774,13932,14097,14252,14408,NaN,14622,14781,14938,NaN,NaN,15301,15478
