n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,n
1775.6,1953.1,2149.1,2419.2,2595.3,2697.2,3197,3356.8,3475.8,3668.5,3817.6,3982.8,NaN,NaN,4305.7,NaN,4499.6,4652,4874.4,NaN,NaN,5206.1,NaN,5400.9,5563.1,5782.7,5987.2,6113.5,6230,6447.2,6587,6697.2,6892.5,7045.6,7223.3,7443.4,7570.3,7685.7,7895.7,8031.1,8141.8,8328.1,8483.2,8652.5,NaN,NaN,8972.5,NaN,9166.5,9321.9,9503.2,NaN,NaN,9857.7,9993.7,10106,10289,NaN,10484,10643,10819,11039,11164,11277,11481,11622,11735,11952,12115,12228,12441,12590,12705,12888,NaN,13085,13243,13418,NaN,NaN,13763,NaN,13961,14119,14288,14511,14638,14750,14962,15118,15234,15423,NaN,15621,15779,15991
1851.1,2021.3,2207.8,2490.5,2661.2,2798.7,3267.5,3425.8,3591.5,3764.3,3946.5,NaN,NaN,4241.2,NaN,4451.7,4598.4,4746.9,NaN,NaN,5116.7,NaN,5350.9,5501.7,5660.2,5943.1,6058,6186,6348.7,6518.9,6659.9,6814.6,6995.5,7143.7,7399.5,7513,7648.1,7806.2,7968.3,8107.6,8262.1,8431.6,8582.9,NaN,NaN,8937.7,NaN,9119.2,9267.3,9423.1,NaN,NaN,9757.6,9933,10066,10226,NaN,10436,10589,10744,10999,11113,11238,11400,11553,11694,11853,12028,12192,12349,12515,12668,12827,NaN,13034,13208,13345,NaN,NaN,13676,NaN,13911,14057,14218,14467,14582,14710,14870,15035,15193,15356,NaN,15570,15724,15875,16048
