n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1842.9,1979.1,2130.8,2408,2592.2,2715.1,3117.1,3311.3,3432.8,3654.2,3814.5,3934.6,4131.4,4280.6,4433.4,NaN,NaN,4760.2,NaN,4956.5,5111.9
1878.4,2049.4,2192.1,2479.3,2662.8,2821,3187,3378,3543.7,3724.8,3888.3,4051.6,4231.1,4376.3,NaN,NaN,4684.8,NaN,4909.5,5057,5210
