n,n,n,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x
3148.9,3272.1,3452.9,3742.9,3848.1,4049,4342.8,4541.5,4662.6,4878.1,5510,5680.9,5803.8,6004.2,6155.6,6331,NaN,NaN,6664.5,NaN,6861.5,7020.7,7189.5,7406.7,7536.6,7656.6,7862.2,7997.5,8111.9,8297.3,8451.1,8607,NaN,NaN,8938.1,NaN,9136,9297.4,9473.9,9833,9976.8,10089,10275,10431,10715,10872,10983,11173,11326,11487,NaN,NaN,11812,NaN,12010,12166,12345,12561,12688,12803,13012,13154,13268,13458,13613
3184.9,3344.6,3510.5,3811.2,3976.2,4152.3,4444.9,4612.7,4782.2,4952.2,5580.7,5750.5,5922.7,6097.2,6252.4,NaN,NaN,6588.7,NaN,6813.2,6967.8,7118.3,7365.6,7478.9,7609.5,7773.2,7945.8,8070.8,8235.5,8398.5,8549,NaN,NaN,8862.2,NaN,9087.9,9246.2,9397.2,9651.7,9903,10048,10211,10370,10530,10790,10949,11108,11278,11426,NaN,NaN,11747,NaN,11962,12105,12268,12521,12634,12765,12924,13084,13228,13390,13560,13714
