n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n
1982.8,2126.8,2278.9,2442.2,2566.3,2852.8,3051,3181.6,3446.5,3604.4,3731.9,3951.1,4106.3,4272.6,NaN,NaN,4608.3,NaN,4803.3,4962.3,5141.8,5364,5490.3,5606.5,5817.1,5971.2,6086.6,6275.1,6430.3,6597,NaN,NaN,6932.4,NaN,7128.3,7291,7454.5,7673.6
2028.8,2199.9,2338.5,2509.6,2674.8,2922,3122.4,3289.8,3541.8,3680.1,3859.2,4053.6,4203.7,NaN,NaN,4525.8,NaN,4758.2,4904.7,5058.2,5317.8,5435.4,5558.7,5726.7,5888.7,6048.9,6208.6,6383.7,6530.7,NaN,NaN,6852.5,NaN,7076.9,7239,7390.6,7629.4,7748.2
