-,-,n,n,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,a,b,c,x
1304.3,1624.6,1847.4,1979,2128.4,2292.3,2429.9,2723.8,2896.3,3021.8,3211.8,3359.9,3524.9,3614.9,3853.1,NaN,4044.6,4193.8,4360.6,4572.5,4696.9,4806.7,5005,5153.8,5266.6,5445.9,5599.8,5757.4,NaN,NaN,6076.9,NaN,6269.9,6425.3,6591.1,6811.1,6936.1,7047.1,7252.2,7396.4,7516.2,7702.1,7854.1,8020.8,NaN,NaN,8363.3,NaN,8557.3,8720.9,8901.6,9114.4,9239,9351.2,9552.8,9687.1,9798.5,9977.3,10129,10316,NaN,NaN,10644,NaN,10837,10994,11167,11381,11506,11618,11824,11961,12071,12274,12445,12560,12751,NaN,12946,13106
1345.2,1662.9,1917.1,2056.4,2201.8,2352.9,2539.5,2792.2,2970.8,3139.3,3306.7,3456.3,3587.9,3772.5,NaN,4001.6,4140.9,4287.6,4538,4644.8,4775.6,4927.6,5077.5,5229.9,5390,5549.2,5696.5,NaN,NaN,6013.5,NaN,6221.9,6376.8,6524.8,6765.9,6881.9,7012.9,7164.9,7323.7,7472.4,7640,7804.9,7953.1,NaN,NaN,8318.6,NaN,8509.7,8669.1,8815.5,9079.8,9207.2,9312,9472,9625.6,9764,9918.2,10083,10227,NaN,NaN,10563,NaN,10788,10940,11092,11344,11454,11582,11741,11894,12038,12198,12348,12526,12682,NaN,12897,13048,13210
