-,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,a
1987.9,2219.5,2369.5,2567.1,2716.7,2878.2,3150.7,3310.1,3426.5,4012.9,4173.8,4302.2,4497.2,4648.3,4804.7,NaN,NaN,5126.6,NaN,5322.3,5478.8,5640.3,5860.5,5982.1,6095.2,6279.7,6433.2,6593.6,NaN,NaN,6928.5,NaN,7123.4,7281.8,7454.9,7672.3,7798.7,7916.1,8131.2,8270.7,8385.7,8569,8727.2,8892,NaN,NaN,9256.5,NaN,9456.9,9612.5,9795,10017,10140,10254,10465,10611,10724,10907,NaN,11103,11261,11429,NaN,NaN,11813,12009,12125,12320,NaN,12520,12677,12877,NaN,NaN,13219
2056.2,2278.9,2443.1,2630.6,2780.1,2981,3254.8,3382.1,3539.8,4109.6,4249.5,4417.5,4598.7,4744.3,NaN,NaN,5062.2,NaN,5273.2,5422,5573.8,5822.2,5932.1,6059.1,6219.7,6380.3,6527.2,NaN,NaN,6844.9,NaN,7076.1,7226.8,7380.2,7631.2,7745,7871.2,8035.8,8202.7,8345.2,8512,8669.4,8826.1,NaN,NaN,9144.8,NaN,9404.5,9555.2,9708.8,9977.5,10087,10214,10377,10538,10690,10844,NaN,11054,11207,11363,NaN,NaN,11688,11884,12082,12244,NaN,12464,12623,12778,NaN,NaN,13132,13368
