n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1964.3,2119,2237.4,2460.3,2612.6,2733.3,2927.2,3080.7,3270.1,3358.8,3627.1,NaN,3820.3,3976.3,4154.2,4367.7,4491.3,4602.7,4802.2,4950,5060.7,5244.5,5398.7,5557.7,NaN,NaN,5877.6,NaN,6072.2,6229.4,6412.3,6628.9,6754.7,6866.2,7067.9,7202.9,7314.8,7496.6,7649.2,7811.3,NaN,NaN,8142,NaN,8338,8499.8,8675.7,8894.2,9017.1,9127.6,9313.8,NaN,9508.7,9664.9,9844.4,10064,10192,10305,10509,10644,10758,10966,11102,11216,11476,11631,11746,11928,12080,12259,NaN,NaN,12652,12794,12910,13115,13253,13368,13552,13706,13886,NaN,NaN,14218,NaN,14415,14574,14751,14969,15097,15214,15402,NaN,15598,15762,15960,NaN,NaN
2045.9,2185.6,2344.9,2527.4,2682.9,2850.6,3030.1,3176.6,3336.7,3513.3,NaN,3772.9,3918.1,4072.3,4328.1,4439.8,4569.5,4721.4,4872.4,5026.8,5178.7,5342.1,5496.5,NaN,NaN,5830.1,NaN,6040,6194.1,6361.1,6594.5,6713.7,6828,6989.8,7153.7,7280.1,7447.7,7616.3,7756.6,NaN,NaN,8066.2,NaN,8286.1,8439.4,8599.5,8855.4,8966.2,9096.2,9254.2,NaN,9461,9611.5,9763.6,10023,10138,10268,10422,10590,10717,10881,11051,11178,11333,11549,11707,11870,12030,12181,NaN,NaN,12515,12720,12873,13033,13200,13329,13491,13650,13804,NaN,NaN,14138,NaN,14363,14511,14675,14931,15041,15170,15336,NaN,15549,15702,15858,NaN,NaN,16217
