n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
1936,2267.7,2433.4,2554.8,2763.5,2945.9,3063.5,3255.5,3405,3570.3,NaN,NaN,3927.6,NaN,4122.9,4276.7,4445,4658.2,4783.9,4893.7,5072.2,5225.7,5389.8,NaN,NaN,5709.2,NaN,5903.4,6057.3,6226.6,6445.8,6569.4,6677.3,6876.3,7014.8,7125.6,7302.1,7454.2,7624.2,NaN,NaN,7951,NaN,8144,8302.9,8471.5,8687.3,8813,8923.6,9108.3,NaN,9299.5,9453.5,9623.9,9840.6,9964.2,10077,10279,10419,10531,10708,10860,11033,NaN,NaN,11386,11537,11648,11859,12000,12110,12294,12449,12614,NaN,NaN,12949,NaN,13140,13298,13472,13690,13813,13924
2182.5,2341.8,2503.5,2655.6,2833.5,3015.2,3181,3355,3502.1,NaN,NaN,3823.4,NaN,4074.2,4217.6,4396.1,4622.6,4733.5,4858.8,5027.9,5190.8,5324.6,NaN,NaN,5643.3,NaN,5854.5,6008.3,6180,6402.8,6529.1,6642.2,6800.1,6948.9,7086.9,7244.2,7422.7,7552.5,NaN,NaN,7874.6,NaN,8095.8,8248.3,8402.3,8647.8,8772.1,8888.4,9042.9,NaN,9251.4,9397.2,9552,9802,9924.3,10035,10194,10350,10492,10652,10806,10958,NaN,NaN,11289,11452,11612,11776,11935,12074,12232,12415,12549,NaN,NaN,12868,NaN,13092,13247,13398,13653,13778,13893,14043
