n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
3587.1,3790,3938.2,4245.4,4423,4555.6,4792.4,4969.6,5097.8,5306.5,5463.6,5626.1,NaN,NaN,5970.9,NaN,6172,6330.4,6507.2,7287.8,7448.3,7562.7,7779.5,7945.3,8063.4,8251.2,8407.9,8569.5,NaN,NaN,8913.2,NaN,9112.2,9271.1,9448.1,9671,9799.8,9914.6,10132,10292,10410,10594,10753,10916,NaN,NaN,11254,NaN,11456,11619,11793,12014,12145,12260
3664.6,3862.4,4049.7,4328.5,4500.7,4675.1,4868.7,5047.2,5225.3,5413.9,5565.9,NaN,NaN,5886.8,NaN,6122,6279.2,6430.7,6694.4,7362.8,7528,7689.8,7854.9,8025.3,8189.2,8361.2,8510.1,NaN,NaN,8832.6,NaN,9065.2,9219.1,9371,9633.9,9753.9,9879.7,10040,10207,10373,10533,10702,10855,NaN,NaN,11178,NaN,11408,11563,11720,11972,12093,12227,12386
