n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,n,e,a,b,c,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n
1986.2,2209.6,2349.1,3299.8,3502.4,3626.1,3870.7,4056.2,4182,4399.4,4555,4721.1,NaN,NaN,5060.9,NaN,5261.6,5420.6,5625.2,NaN,NaN,5975.1,NaN,6176.5,6335.4,6528.8,6846.6,6999.5,7115.3,7308.9,7469,7639.7,NaN,NaN,7980.3,NaN,8179.8,8359.1,8490,8694.7,NaN,8892.4,9133.8,9291.8,9407.9,9612.9,9783.3,9897.8,10122,10269,10386,10606,10793,10924,11121,11278,11455,NaN,NaN,11795,NaN,11999,12165,12372,12594,12721
2060.3,2276.3,2457.2,3371.8,3569.5,3735.5,3944,4131.6,4302.5,4504.5,4654.4,NaN,NaN,4992,NaN,5212.4,5368.2,5517.3,NaN,NaN,5906.8,NaN,6128.1,6293.8,6450.8,6714.8,6930.5,7087.3,7246.3,7428.2,7577.1,NaN,NaN,7897.8,NaN,8128.5,8282.8,8439.7,8621.6,NaN,8841.9,9005.6,9218.9,9378.9,9535,9702.6,9869.8,10032,10211,10356,10521,10694,10880,11044,11230,11393,NaN,NaN,11742,NaN,11946,12111,12269,12549,12667,12824
