-,-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1058.7,1280.7,1990.2,2146.7,2271.7,2576.2,2750.6,2873.6,3066.6,3216.1,3373.7,NaN,NaN,3705,NaN,3898.1,4053.9,4221.7,4438.2,4566.8,4684.3,5724.2,5896.7,6010.4,6227.1,6378.2,6504.8,6691.4,6841.9,6994.4,NaN,NaN,7321.3,NaN,7512.8,7671.4,7834.4,8051.7,8176.8,8287.1,8487.5,8635.2,8742.6,8920.8,9072.8,9233.6,NaN,NaN
1093.3,1343.6,2080.4,2215.8,2378.8,2649.1,2824.3,2990.4,3160.6,3312.4,NaN,NaN,3630.2,NaN,3852.9,3996.4,4146.3,4401.8,4512.1,4640.4,4807.4,5792.7,5963.1,6127.3,6295.3,6450.5,6626.1,6794.2,6940.3,NaN,NaN,7250.6,NaN,7463.6,7619.3,7762.8,8013.3,8122.5,8251.9,8408,8557.4,8709.3,8868.2,9027.3,9178.8,NaN,NaN,9483.8
