n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1991.2,2173.4,2304.7,2546.5,2719.3,2842.8,3034.2,3185.2,3345.6,NaN,NaN,3696.1,NaN,3888.4,4042.3,4216.9,4433.6,4559.9,4673.7,4858.1,NaN,5051.8,5208,5386.9,NaN,NaN,5710.2,NaN,5906.8,6064.2,6239.6,6533.8,6677,6787.5,6967.9,7120.7,7304.3,NaN,NaN,7687.2,7841,7954.7,8159.3,8301.5,8412.7,8594,8753.2,8923.4,NaN,NaN,9264.5,NaN,9462.2,9623.9
2056.7,2238.5,2411.7,2614.7,2787.7,2959.1,3131.7,3292.8,NaN,NaN,3605.9,NaN,3842.4,3996.2,4150,4393.2,4519.9,4632,4784.3,NaN,5006.8,5156.7,5308.9,NaN,NaN,5646,NaN,5859.5,6026.6,6170.8,6420.8,6609.3,6752.4,6921.6,7070.9,7223.3,NaN,NaN,7566.1,7759.3,7919.2,8076.4,8231.4,8372.7,8544.3,8719.3,8871.4,NaN,NaN,9179.8,NaN,9413,9568.7,9723.1
