n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,n,e,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n
1914.4,1994.7,2764.8,2905.9,3058.8,3215.1,3338.8,3636.6,3797.3,3917.6,4102.6,4257.1,4425.3,NaN,NaN,4749.9,NaN,4943.8,5099.7,5271.3,5488.2,5615,5728.9,5932.9,6066.8,6185.3,6371.5,6523.8,6696.9,6785.4,7013.2,NaN,7207.3,7367.4,7540.1,NaN,NaN,7872,NaN,8069.8,8235.8,8406.2,8621.2,8744.9,8855.8,9057.5,9202.4,9315.8,9497.3,NaN,9692.7,9857.9,10045,10131,10389,10531,10645,10831,10984,11158,11372,11498,11609,11812,11956,12070,12253,NaN,12452,12610,12778,NaN,NaN,13118,NaN,13317,13507,13625,13832,13987,14103,14356,14498,14613,14802,14955,15136,NaN,NaN,15489,15639,15760,15970,16122,16238,16456,16616,16732,16936,NaN,17136,17293,17470,17695,17819,17933,18160
1952.2,2124.3,2820.4,2972.6,3123.9,3282.2,3441.9,3707.1,3870.5,4037.9,4203.1,4356,NaN,NaN,4677.4,NaN,4896.4,5042.1,5196.7,5447.6,5561.5,5690.8,5848.8,6012.6,6148.5,6303.9,6469.3,6619.9,6761.2,6943.4,NaN,7158.6,7307.3,7466.6,NaN,NaN,7797.1,NaN,8016.9,8175.5,8346.5,8584.6,8696.5,8821.1,8975,9127.8,9276,9437.7,NaN,9642.9,9797.8,9966.2,10102,10286,10453,10607,10765,10928,11081,11334,11445,11572,11728,11882,12033,12190,NaN,12399,12558,12708,NaN,NaN,13034,NaN,13286,13426,13582,13744,13901,14063,14224,14423,14575,14736,14902,15053,NaN,NaN,15392,15558,15720,15878,16044,16198,16360,16531,16692,16852,NaN,17086,17234,17388,17651,17766,17895,18049,18232
