-,g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,a,b,c,x
1978.2,2188.8,2372.6,2648,2818.8,2950.8,3169.1,3414.3,3529.6,3721.6,3873.8,4032.6,NaN,NaN,4359.7,NaN,4549.8,4702.2,4870.3,5080.1,5202.2,5313.4,5495.9,5648.1,5802.3,NaN,NaN,6125.3,NaN,6317.5,6473.9,6642.8,6859.1,6982,7093.3,7290.1,7426.8,7537.3,7738.6,7880.2,7990.2,8167.3,8318,8482.6,8571.9,8805.2,NaN,8999.5,9158.9,9332.6,9546.8,9677.4,9788.9,9980.9,NaN,10174,10330
2024.9,2306.4,2440.9,2716.4,2884.6,3052.3,3240.2,3487,3648.8,3814.3,3968.1,NaN,NaN,4294.8,NaN,4504,4646.8,4797.9,5047,5151.5,5278.3,5432.8,5598,5746,NaN,NaN,6050.1,NaN,6271.1,6423.8,6571.9,6823.2,6931.2,7058.1,7213,7360.8,7504.4,7660.2,7810.6,7954.5,8109.4,8266,8417.3,8545.8,8725.9,NaN,8951.5,9106.5,9261.4,9507,9620.5,9750,9909.5,NaN,10128,10275,10428
