n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1977.4,2811,2953.2,3202.9,3367.2,3492.7,3787.9,3970.7,4104.6,4309.8,4455.7,4617,NaN,NaN,4938,NaN,5130.5,5284.6,5453.1,5665.6,5791,5901.4,6085.8,6234.1,6367.8,NaN,NaN,6715.9,NaN,6906.9,7063,7237.5,7453.8,7577.5,7689.6,7893.3,8038.2,8149.3,8332.1,8486.5,8691.4,NaN,NaN
2042,2860,3012.6,3267.8,3432.3,3594.7,3909.6,4042,4222.5,4400.8,4549.9,NaN,NaN,4866.6,NaN,5084.1,5235.2,5378.8,5625.5,5735.9,5868.3,6021,6184.3,6329.6,NaN,NaN,6658.2,NaN,6861.2,7014.8,7160.1,7412.8,7523.3,7656.3,7813.3,7958.9,8113.5,8269.2,8433.8,8583.3,NaN,NaN,8945
