-,-,-,g,n,n,n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,-,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1991,2361.4,3232.8,4214.2,4322.9,4613.5,4787.8,5092.4,5249.2,5489.2,5679.6,5799.9,6051.5,6738.6,6911.2,7039.8,7251,7423.5,7542.5,7761.9,7911.9,8065.2,NaN,NaN,8392.5,NaN,8586.1,8739.2,8904.2,9123.1,9354.2,9536.4,9690.8,9847.3,NaN,NaN,10170,NaN,10363,10515,10681,10897,11024,11134,11340,11482,11592,11801,11950,12060,12244,12398,12889,NaN,13085,13241,13425,13644,13772,13886,14086,14238,14352,14560,14701,14813,15009,15159,15322,NaN,NaN,15664,NaN,15861,16026,16204,16521,16671,16785,16977,NaN,17179,17343
2034.7,2571.7,3412.5,4279.3,4412.1,4694.6,4857,5209.1,5307.8,5590.5,5758.1,5910.2,6121.1,6809.1,6983.9,7157.3,7325.8,7503.5,7662.1,7863.6,8007.7,NaN,NaN,8326.1,NaN,8539.6,8691.5,8832.1,9077.8,9318,9473.5,9657.3,9788.2,NaN,NaN,10101,NaN,10315,10463,10627,10858,10984,11103,11245,11410,11557,11716,11889,12024,12180,12363,12814,NaN,13034,13188,13340,13607,13733,13845,14008,14159,14314,14472,14628,14777,14938,15103,15254,NaN,NaN,15576,NaN,15813,15966,16131,16381,16610,16751,16909,NaN,17123,17305,17441
