n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,n,e,n,n,e,c,x,d,m,p,a,b,c,n,e,n,n,e,n,n,e,n
1986.2,2146.2,2275.7,2516.2,2692.8,2817.9,3007,3158.1,3315.2,NaN,NaN,3635.7,NaN,3833.4,3988.6,4164.1,4379.3,4503.3,4613.9,4811.6,4964.4,5132.7,NaN,NaN,5477,NaN,5671,5826.2,6015.3,6234.6,6359.6,6472.1,6673.2,6815.9,6925.4,7114,7266.2,7432,NaN,NaN,7775.6,NaN,7971.6,8129.6,8306.7,8524.3,8646.7,8757.1,8957.5,9101.3,9215.6,9404.3,9559.2,9721.6,NaN,NaN,10059,NaN,10258,10415,10614,10825,10955,11069,11246,NaN,11447,11606,11809,11896,12188,12441,12555,12753,12910,13104,NaN,NaN,13458,NaN,13656,13842,13956,14166,14312,14427,14643,14786,14906,15146
2050.2,2211.7,2381.2,2588.4,2766.8,2931.7,3106.9,3255.3,NaN,NaN,3573.4,NaN,3781,3934.8,4084.7,4340.5,4451.8,4577,4733.4,4917.1,5062.5,NaN,NaN,5389.5,NaN,5620.4,5773.9,5919.6,6192.4,6307.9,6437,6593.6,6744,6894.9,7050.5,7216.4,7373.2,NaN,NaN,7699.2,NaN,7921.2,8077,8229.6,8480.6,8596.8,8722.5,8873.6,9030.9,9178.2,9336.8,9507.9,9659.2,NaN,NaN,9977,NaN,10206,10356,10513,10789,10897,11026,11190,NaN,11398,11548,11717,11869,12052,12256,12517,12675,12853,13009,NaN,NaN,13356,NaN,13606,13761,13916,14077,14237,14393,14550,14714,14864,15028,15221
