n,n,n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1800.5,1976.6,2137,2888.5,3032.1,3657.8,3805.2,3963.5,4225.3,4566.4,4749.1,4864.3,5084.8,5271,5392.8,5585.3,5739.5,5910.1,NaN,NaN,6246.3,NaN,6446.2,6604,6781.4,7003.4,7126.1,7243.8,7450.2,7592.7,7706.9,7891,8047.8,8220.2,NaN,NaN,8578.8,8721.2,8840.6,9025.9,9183,9360.3,NaN,NaN,9687.4,NaN,9885.8,10043,10223,10442,10566,10682,10866,NaN,11068,11227,11432,NaN,NaN,11806
1837.6,2046.2,2199,2942.8,3246.2,3739.7,3882.9,4030.9,4293.3,4637.2,4814.2,4973.2,5153.7,5343.3,5505.3,5681.5,5838.5,NaN,NaN,6168.4,NaN,6394.7,6549.9,6698.9,6964.7,7075.9,7203.8,7366.1,7525.2,7668.1,7828.5,8013.2,8145.7,NaN,NaN,8481.4,8659.7,8800.9,8977.1,9151.6,9282.7,NaN,NaN,9634.1,NaN,9837.6,10011,10142,10404,10529,10643,10808,NaN,11016,11173,11329,NaN,NaN,11686,11876
