n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,n,n,e,n,n,e,c,x,d,m,p
1993.8,2470.4,2890.7,3053.3,3226.4,4055.7,4229.9,4353.5,4566.7,4740.8,4866,5113.7,5260.9,5427.1,NaN,NaN,5761.7,NaN,5955.2,6104.8,6271.6,6485.8,6610,6723.2,6909.5,7061.5,7215.1,NaN,NaN,7541.9,NaN,7735.1,7887.9,8051.9,8263.5,8382.9,8491.4,8672.7,8825.1,8982.1,NaN,NaN,9296.8,NaN,9501.8,9656.7,9819.8,10035,10157,10265,10442,NaN,10638,10792,10965,11290,11417,11527,11706,11858,12024,NaN,NaN,12369,12496,12606,12783,NaN,12977,13129,13298,13514,13636,13751,13935,NaN,14127,14283,14457,14673,14792,14902,15079,NaN,15273,15428,15594,15807,15930,16190,16331,16443,16641,16780,16890,17072,17226,17400,NaN,NaN
2042.6,2511.7,2934.9,3127.3,3280.9,4124.3,4296,4460,4637.9,4812.6,4983.3,5207.3,5357.5,NaN,NaN,5672.2,NaN,5908.4,6051.4,6197.3,6445.5,6557.9,6682.7,6838.9,7008.8,7156.2,NaN,NaN,7461.3,NaN,7687.1,7839.1,7982,8224.8,8330.8,8455.7,8611.2,8773.1,8931.1,NaN,NaN,9249.3,NaN,9456.9,9600.5,9754,9998.6,10120,10233,10386,NaN,10594,10739,10893,11145,11367,11491,11645,11808,11957,NaN,NaN,12272,12435,12572,12728,NaN,12927,13075,13225,13478,13585,13711,13865,NaN,14083,14246,14387,14634,14746,14868,15024,NaN,15225,15389,15532,15770,15878,16006,16264,16408,16564,16712,16856,17009,17173,17325,NaN,NaN,17662
