-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a
1984.1,2368.3,2539.7,2657,2884.7,3033.8,3152.7,3328.4,3477.6,3631.9,NaN,NaN,3953.2,NaN,4145,4297.3,4459.9,4671.6,4793.8,4904.3,5110.4,5251.3,5371.7,5551.8,5700.5,5863.7,NaN,NaN,6183.8,NaN,6374.5,6529.2,6695,6908.1,7036.2,7150.2,7352.1,7489,7601.8,7811.1,7958.3,8072.4,8255.4,8408.8,8568.1,NaN,NaN,8892.8,NaN,9089.2,9251.6,9431.2,9644.4,9774.2,9886.3,10094,10235,10348,10548,10701,10882,NaN,NaN,11225,NaN,11424,11582,11766,12065,12223,12337,12531
2051.6,2440,2607.7,2769.8,2986.4,3107.2,3271.8,3435.8,3573.9,NaN,NaN,3883.9,NaN,4095.1,4247.7,4392.1,4633.9,4741.8,4866,5024.2,5180.2,5324.8,5489.8,5648,5798.5,NaN,NaN,6121.5,NaN,6329.1,6472.4,6628.2,6868.1,6980.1,7109.2,7268,7440.1,7566.9,7719.3,7890.9,8034.7,8189.8,8353,8503.1,NaN,NaN,8821.6,NaN,9037.6,9192.6,9347.3,9602.7,9717.8,9848.3,10007,10161,10310,10468,10637,10796,NaN,NaN,11134,NaN,11369,11518,11678,11943,12134,12298,12456,12589
