-,-,c,g,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x
1998.6,2507.3,2923,3018.5,3249.7,3400.2,3555.7,3672.6,4276.5,4442.2,4578.1,4782.6,4935.6,5048.2,5242.9,5392.4,5547.6,NaN,NaN,5883,NaN,6074.3,6223.9,6833.2,6980.1,7092.6,7279.2,7433.4
2169.6,2565.6,2967,3167.2,3329.1,3468.6,3622.2,3782.9,4343.8,4516.2,4686.9,4852.7,5007.6,5166.4,5339.7,5488.9,NaN,NaN,5794.1,NaN,6026.5,6170.7,6318.7,6908.2,7055.1,7211.6,7379,7531.1
