n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e
1941.7,2117.6,2280,2581.3,3338.1,3465.9,3627.3,3923.6,4106.7,4231.1,4525.3,4721.1,4845.1,5036.4,5195.1,5361.2,NaN,NaN,5693.8,NaN,5891.7,6048.4,6226.2,6454.8,6584.3,6698.8,6907.6,7074.8,7192.2,7403.8,7553.7,7669.9,7854.6,8011.3,8174.7,NaN,NaN,8512,NaN,8707.5,8868.3,9050.9,9277.3,9404.3,9518.7,9721.3,9887.6,10003,10195,10352,10523,NaN,NaN,10902,11038,11151
2074.3,2178.5,2387.3,2651.6,3408.2,3547.1,3696.2,4000.3,4176.2,4341.5,4672.5,4794.4,4970.9,5139.1,5315.1,NaN,NaN,5624.9,NaN,5843.3,5997.5,6143.3,6407.9,6526,6660.5,6820.7,6980.9,7151.8,7315.8,7478.8,7628.5,7794.2,7965.2,8112.8,NaN,NaN,8429.5,NaN,8657.7,8816.5,8970.9,9234.2,9352.5,9478.9,9641.5,9794.5,9960.7,10126,10301,10454,NaN,NaN,10774,10973,11113,11276
