-,n,n,n,g,n,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,-
1627.1,1820,1983.7,2171.4,2834.6,3026.8,3189.5,3352.8,3491.2,3747.4,3921.2,4041.5,4222.6,4373.6,4528.5,4617.3,4845.6,NaN,5037.4,5185.1,5348,5561.1,5684.5,5794.8,5992.6,6129.2,6237.3,6417.9,6569.9,6726.8,NaN,NaN,7047.4,NaN,7241.9,7395.2,7564.3,7775.5,7894,8002.2,8198.8,8439.1,8575.2,8689.2,8867.2,9019.4,9200.4,NaN,NaN,9531.5,NaN,9721.7,9875.4,10040,10251,10376,10488,10691,10831,10942,11141,11288,11398,11588,11743,11903,NaN,NaN,12230,NaN,12425,12583,12750,12963,13089,13205,13431,13707
1666.9,1876.8,2053,2233.8,2921.2,3104.5,3252.8,3421.7,3594.9,3813.9,3994.5,4156.5,4322.8,4466.7,4591.8,4766.9,NaN,4987,5136.1,5278.7,5524.3,5634,5758.9,5915.4,6065.8,6203.9,6361.1,6516.7,6665.3,NaN,NaN,6978.1,NaN,7190.1,7347.3,7493.5,7739.4,7847.4,7967.9,8123.3,8272.2,8512.1,8652,8805.8,8966.6,9116,NaN,NaN,9451.4,NaN,9675.6,9819.5,9971.7,10215,10324,10450,10608,10760,10906,11060,11213,11363,11520,11691,11841,NaN,NaN,12155,NaN,12373,12530,12682,12922,13036,13164,13325,13498,13777
