g,n,n,n,e,n,n,e,c,x,n,e,a,b,c,x,G,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n
1807.2,1972.9,2115.1,2267.7,2393.8,2799.3,2963.4,3090.8,3275.9,3425.3,3617.6,3705.2,3939.8,NaN,4133.5,4283.9,4418,4779.8,4891.4,5085.3,5229.6,5339.3,5526.2,5679,5839.6,NaN,NaN,6154.9,NaN,6347.4,6498.7,6665.9,6892.2,7018.5,7132.4,7344.1,7493.9,7605.1,7787.2,7940.1,8101.5,NaN,NaN,8431.2,NaN,8620,8777.5,8944,9164.7,9288.9,9400,9603.1,9746.8,9859.7,10045,NaN,10238,10398,10568,10786,10916,11030,11233,11379,11495,11689,11842,12025,NaN,NaN,12386
1892.2,2050.2,2187.8,2331.3,2502,2872.2,3037.3,3206.1,3375.7,3520.2,3677.5,3860.5,NaN,4087.8,4233.8,4379.8,4735,4850.6,5011.9,5159.2,5305.9,5456.5,5631.8,5776.8,NaN,NaN,6094.5,NaN,6298.2,6449.1,6594.3,6842.3,6964.9,7094.6,7250.4,7415,7570.1,7722.4,7891,8037.3,NaN,NaN,8355.8,NaN,8568.8,8721,8875.5,9125.2,9238.1,9363,9517,9676,9821.5,9977.6,NaN,10190,10338,10490,10744,10857,10994,11147,11308,11456,11615,11781,11941,NaN,NaN,12280,12454
