n,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c
1522.8,1694.3,1856.4,1994.5,2210.4,2416.3,2571.2,3537.5,3696.6,3822.9,4037.4,4213.3,4338.6,4567.4,4728.5,4844.8,5033.2,5190.2,5344.4,NaN,NaN,5679,NaN,5879.7,6039.2,6209.2,6430.8,6555.5,6669.6,6879,7024.1,7139.4,7332.9,7488.4,7659,NaN,NaN,7993.7,NaN,8194.4,8352.2,8521,NaN,NaN,8879.6,NaN,9077.4
1593.1,1758.6,1908.3,2046.8,2285.2,2477.8,2681.7,3609.2,3767.1,3936.2,4107.7,4281.2,4458.3,4638.1,4800.5,4973.3,5138.2,5287.1,NaN,NaN,5599.6,NaN,5828.1,5988.6,6138.7,6390.2,6503.7,6631.7,6793.7,6950.1,7099.2,7265.7,7439.9,7591.5,NaN,NaN,7919.2,NaN,8142.6,8301.9,8451.4,NaN,NaN,8776.6,NaN,9027,9161.3
