n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1822.7,1964.6,2159.6,2333.4,2503,2813.2,2991.9,3123.8,4024.3,4199.9,4319.9,4573.6,4737.9,4865.8,5067.7,5220.3,5372.8,NaN,NaN,5709.2,NaN,5907.1,6061.2,6235.2,6452.2,6583.8,6702.7,6911.8,7052.6,7165.6,7346.5,7499.1,7661.1,NaN,NaN,7999.2,NaN,8195.2,8356,8531,8755.2,8886.4,8999,9199.4,9361.8,9476.8,9666.2,9818.3,9983.3,NaN,NaN,10314,NaN,10507,10666,10854,11074,11203,11317,11498,NaN,11693,11851,12017,NaN,NaN,12378,12522,12636,12828,NaN,13024,13182,13350,13572,13703,13815,14027,14174,14286,14470,14626,14789,NaN,NaN,15127,NaN,15323,15483,15699,NaN,NaN,16062,16247,16363,16576,16755,16869,17060,NaN,17259,17420,17600,17820,17953,18071,18265,NaN,18463,18624,18843,NaN,NaN
1862.6,2053.3,2244.5,2398.3,2563,2889.2,3055.6,3229,4092.2,4267.8,4431.9,4642.8,4814.5,4985.1,5172.6,5321.5,NaN,NaN,5632.9,NaN,5860.8,6025.9,6173.5,6417.4,6527.8,6661,6826.2,6986.3,7127.1,7287.1,7466.8,7599.5,NaN,NaN,7923.5,NaN,8147.5,8303.6,8456.8,8716.3,8832,8965.4,9120.8,9272.4,9442.6,9599.3,9771.1,9922.1,NaN,NaN,10248,NaN,10461,10610,10768,11034,11152,11286,11441,NaN,11647,11801,11952,NaN,NaN,12277,12449,12603,12763,NaN,12977,13126,13282,13531,13649,13784,13929,14099,14254,14401,14576,14730,NaN,NaN,15055,NaN,15274,15429,15584,NaN,NaN,15964,16135,16327,16488,16649,16829,16995,NaN,17205,17368,17522,17784,17897,18029,18196,NaN,18420,18567,18723,NaN,NaN,19110
