n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e
1806.7,1969.8,2454,2768.8,2887,3259.2,3404.1,3572.9,3705.8,3896.2,4138.9,4267.7,4454.5,4610.2,4789,NaN,NaN,5130.6,NaN,5327.5,5484.9,5663.8,5887.9,6014.5,6130.1,6338.3,6482.5,6600.7,6783.3,6936.8,7106.4,NaN,NaN,7438.4,NaN,7633.9,7796.7,7977.9,8200.4,8327.3,8444.3,8640,8793.4,8906.3,9109.3,9251.8,9366.3
1848.8,2182.4,2675.9,2832.1,2997.2,3342.8,3482.1,3643.6,3814.5,3996,4214.1,4390.1,4553.1,4708.2,NaN,NaN,5048.1,NaN,5277.7,5437,5585.1,5846.7,5959.3,6089.6,6254,6414.7,6559.2,6725.3,6886.5,7036.2,NaN,NaN,7371.4,NaN,7589.8,7737.3,7897.1,8157.9,8274.6,8404.5,8570,8715.6,8869.8,9029.2,9195.1,9330.1,9487.7
