n,n,e,n,n,e,c,x,c,x,g,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n
3036.2,3194.3,3315.5,3535.4,3728.6,3855.7,4060.1,4210.9,4897.6,5053.1,5225.3,5439.3,5566.1,5680.8,5884.7,6164.4,6312.9,6426.1,6617.8,6765.4,6922.7,NaN,NaN,7243.8,NaN,7438,7591.6,8404.8,8558.7,8678.8,8865.8,9017.4,9176.7,NaN,NaN,9602.3,9738,9844.6,10026,10179,10349,NaN,NaN,10674,NaN,10865,11023,11193,11409,11537,11647,11847,12000,12114,12305,12457,12634,12850,12986,13099,13284,NaN,13479,13636,13810,NaN,NaN,14152,NaN,14349,14508,14729,NaN,NaN,15085,15220,15336,15516,NaN,15713,15873,16076,NaN,NaN,16437,16585,16697,16886,17039,17219,17441,17568,17680,17927,18084,18208,18399,18552,18733,NaN,NaN,19114
3119.6,3260.3,3422.1,3601.7,3795.9,3970.3,4157.1,4302.1,4999,5156.8,5402.9,5523.1,5641.1,5800.5,5956.5,6233.4,6390.2,6548.1,6715.5,6862.9,NaN,NaN,7173.4,NaN,7389.3,7540.3,7689.1,8477.6,8636.5,8797.5,8965.1,9110.7,NaN,NaN,9430.9,9674.7,9811.8,9969.3,10131,10276,NaN,NaN,10606,NaN,10821,10967,11121,11370,11491,11606,11765,11917,12079,12237,12406,12556,12807,12920,13060,13222,NaN,13428,13577,13746,NaN,NaN,14065,NaN,14298,14446,14607,NaN,NaN,14986,15166,15296,15471,NaN,15665,15835,15970,NaN,NaN,16330,16505,16658,16822,16985,17140,17397,17526,17641,17803,17996,18157,18327,18502,18655,NaN,NaN,18991,19182
