n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e
1981.9,2146.2,2267.7,2544.4,2680.3,2850.7,3050.3,3201.8,3357.5,NaN,NaN,3688.5,NaN,3881.8,4034,4206.4,4424.4,4550.9,4667.3,4884,5049.5,5172.8,5423.4,5596.7,5710,5893.9,6045.4,6200.6,NaN,NaN,6536.2,NaN,6733.3,6887.4,7072.8,7290.5,7415.1,7527.9,7736.5,7962.8,8072.2,8293.9,8458.4,8569,8746.7,8901.7,9089.4,NaN,NaN,9440.1,NaN,9635.5,9794.7,9967.2,10188,10313,10424,10629,10815,10929,11144,11302,11417,11634,11815,11941
2059.2,2215.9,2377.4,2639.2,2789.2,2967.5,3146.4,3296.1,NaN,NaN,3610.4,NaN,3830.9,3983.4,4133.3,4384.2,4520.1,4625.4,4786.9,4956.6,5121.2,5293.1,5495.8,5669.8,5830.4,5995.3,6143.1,NaN,NaN,6452.1,NaN,6681.8,6828.8,6983.7,7247.5,7361.7,7489.6,7649.5,7809.2,8037.8,8199.4,8364.1,8534,8687.8,8853.2,9000.3,NaN,NaN,9343.6,NaN,9585,9741.3,9897.9,10145,10263,10386,10546,10699,10893,11051,11217,11380,11537,11705,11890,12064
