g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p
7109.1,7264.3,7417.8,7585.5,7692.1,7945,8143.9,8258.2,8441.1,8605.1,8768.5,NaN,NaN,9095.2,NaN,9287.2,9442.5,9620.8,9839.4,9968.3,10081,10259,10326,10472,10585,10766,10919,11073,NaN,NaN,11406,NaN,11600,11756,11934,12150,12277,12390,12573,12728,12895,NaN,NaN,13221,NaN,13417,13577,13757,13979,14103,14212,14394,NaN,14591,14748,14913,NaN,NaN,15252,NaN,15449,15613,15783,16007,16132,16244,16466,16611,16724,16930,17068,17184,17371,17526,17695,NaN,NaN
7157.9,7338.9,7491.6,7652.2,7792.2,8017.7,8215.6,8362.1,8556.8,8704.9,NaN,NaN,9027.1,NaN,9239.4,9389.6,9539.5,9801.5,9913.5,10042,10199,10291,10424,10548,10703,10861,11018,NaN,NaN,11325,NaN,11549,11719,11861,12112,12224,12353,12509,12678,12827,NaN,NaN,13149,NaN,13368,13517,13675,13938,14052,14180,14329,NaN,14541,14691,14856,NaN,NaN,15167,NaN,15395,15550,15719,15964,16077,16209,16365,16537,16685,16844,17000,17143,17307,17464,17621,NaN,NaN,17949
