n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,n,e
1969.3,2149.9,2314,2814.6,2967,3140.9,3282.4,3763.4,3917.5,4039.1,4284.9,4459.4,4580.6,4792.1,4942.5,5101.1,NaN,NaN,5441.4,NaN,5632,5783.4,5959.5,6171.6,6297.9,6411.9,6616.8,7203.8,7361.7,7474.2,7760.6,7949.8,8070,8253.4,8402.2,8564.5,NaN,NaN,8888.3,NaN,9081.4,9238.5,9399.5,9619,9883.9,10037,10154,10336,10489,10655,NaN,NaN,10984,NaN,11178,11358,11474
2026.6,2225.6,2373.6,2883.3,3038.3,3207.1,3387,3852.2,3985.6,4149.8,4354.8,4536,4694.6,4883,5037.7,NaN,NaN,5354.4,NaN,5584.6,5732.3,5880.1,6133.7,6242.2,6373.6,6530.3,6692.9,7275.4,7435.2,7590.7,7831.9,8026.4,8186.5,8354.7,8500.8,NaN,NaN,8822.5,NaN,9032.5,9200.8,9335.6,9577.2,9690.9,9956.3,10114,10275,10437,10588,NaN,NaN,10905,NaN,11130,11278,11438,11595
