n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x
1847.8,1981.1,2131.8,2477.5,2663.5,2813,3066.6,3246.1,3370.1,3593.1,3747.8,3870.2,4070.7,4221.4,4387.3,NaN,NaN,4726.6,NaN,4921.2,5077.9,5264.3,5481.5,5607,5719.6,5926.5,6064.8,6177.4,6368.1,6523.9,6689.5,NaN,NaN,7021,NaN,7213.9,7373.1,7539.2,7760.7,7886.5,8003,8208.2,8357.1,8468.9,8645.1,8801.9,8966.2,NaN,NaN,9321,9474.7,9588.2,9769.8,NaN,9965.9,10123,10295,10513,10642,10752,10969,11149,11262,11442,11594
1907.2,2086.7,2202.6,2544,2727,2920.2,3134.7,3318.8,3482.2,3699.2,3824.8,3993.5,4170.2,4324.2,NaN,NaN,4648.6,NaN,4874.7,5027.9,5177.8,5443.5,5556.2,5685.6,5838.9,6008.3,6140.7,6300.9,6468.9,6619.8,NaN,NaN,6942.6,NaN,7170.3,7337.2,7471.6,7722.6,7838.3,7971.9,8128.5,8282,8435,8588,8768.2,8900,NaN,NaN,9222.4,9393.6,9548.5,9714.3,NaN,9918.4,10070,10224,10479,10589,10722,10876,11045,11224,11384,11562,11692
