n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
2443,2539.6,2719.7,2942.6,3286.2,3611.7,3777.2,3914.9,4224.5,4395.2,4520.3,4713.2,4864.2,5031.7,NaN,NaN,5366.2,NaN,5559.3,5710.9,5886.5,6104.6,6228.4,6342.9,6566.5,6717.8,6834.5,7015.6,7170,7335.7,NaN,NaN,7663.1,NaN,7858,8014.1,8186.3
2494.8,2634.2,2823.2,3091.5,3533.2,3688.8,3847.6,4021,4295.2,4464.1,4635.8,4811.4,4956.9,NaN,NaN,5284.5,NaN,5511.5,5660.2,5804.4,6065.4,6191.2,6304.8,6467,6644.7,6796.6,6953.3,7133.3,7269.2,NaN,NaN,7586,NaN,7810.3,7959.5,8111.1,8359.9
