n,g,c,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,c,x,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
8765.2,8851.7,9433.4,9605.2,9904.9,10062,10191,10417,10609,10728,10950,11109,11220,11401,11552,11725,NaN,NaN,12052,NaN,12245,12399,12567,12780,12902,13012,13192,13341,13501,NaN,NaN,13824,NaN,14017,14173,14362,14589,14716,14831,15032,15171,15283,15474,15624,15787,NaN,NaN,16115,NaN,16309,16465,16631,16847,16973,17083,17283,17444,17559,17738,17890,18089,18178,18422,NaN,18614,18771,18944,19161,19283,19392,19574,19728,19896,19988,20271,20416,20528,20730,20880,20991,21175,21334,21494,NaN,NaN,21832,NaN,22026,22187,22370,22593,22718,22829,23010,NaN,23206,23376,23581,NaN,NaN,23942
8805.9,9029.3,9472.4,9833.4,9973.7,10128,10294,10481,10678,10834,11019,11183,11340,11495,11649,NaN,NaN,11981,NaN,12197,12350,12519,12741,12851,12973,13130,13287,13438,NaN,NaN,13751,NaN,13969,14141,14272,14538,14658,14786,14952,15101,15246,15401,15572,15723,NaN,NaN,16039,NaN,16260,16413,16564,16806,16918,17042,17194,17357,17519,17678,17833,17989,18155,18333,NaN,18566,18714,18869,19120,19230,19353,19511,19678,19827,19961,20144,20340,20489,20649,20803,20955,21113,21279,21435,NaN,NaN,21747,NaN,21975,22130,22285,22550,22665,22790,22947,NaN,23156,23338,23497,NaN,NaN,23837,24009
