n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
2801.2,3092.7,4110.6,4288.7,4445.3,4704.2,4972.7,5139.8,5248.6,5460.7,5621.1,5744.2,5924.9,6075.2,6231.2,NaN,NaN,6556.4,NaN,6752.6,6902,7064.8,7286.4,7410.9,7532.3,7741.7,7887.7,8001.1,8210,8360.7,8522.1,NaN,NaN,8853.3,NaN,9048.7,9207.7
2997.2,3149.5,4180.7,4373.1,4656.5,4806.5,5042.2,5212.6,5367.2,5527,5690.7,5862.8,6017.3,6170.5,NaN,NaN,6482,NaN,6703.7,6845.6,6997,7245.2,7358.4,7487.3,7652.6,7813,7964.5,8124.7,8311.6,8459.8,NaN,NaN,8778.6,NaN,9001.7,9149.2,9306.3
