n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1984.2,2275.4,2440.5,2560.4,2794.8,2968.8,3083.7,3277.3,3425.9,3601.4,NaN,NaN,3931.2,NaN,4126.5,4278.9,4439.8,4658.6,4788,4905.3,5130.3,5307.1,5422.2,5614.1,5762.6,5928.9,NaN,NaN,6253.6,NaN,6447.1,6600.6,6769,6989.2,7115.5,7227.8,7414.2,7566.8,7730.5,NaN,NaN,8065.8,NaN,8262.8,8420.5,8593.7,8823,8948.2,9057.6,9253.7,9398.4,9510.2,9691.4,9843.8,10017,NaN,NaN,10354,NaN,10548,10702,10867,11094,11225,11342,11543
2052.8,2349.4,2509.8,2670.2,2866.6,3042.7,3203.9,3379.9,3520.8,NaN,NaN,3849.7,NaN,4078.2,4242.8,4372.9,4619.8,4731.7,4860,5025.1,5223.9,5385.2,5542.2,5716.3,5860.5,NaN,NaN,6187.8,NaN,6400.2,6553.8,6699,6950,7062.3,7184.8,7352.2,7522.3,7667.2,NaN,NaN,7986.7,NaN,8210.4,8369.8,8519.2,8770.2,8892.3,9019.2,9187.5,9329.2,9471.8,9630.8,9794.2,9941.8,NaN,NaN,10273,NaN,10498,10648,10801,11049,11166,11297,11462,11617
