n,g,n,n,n,n,e,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,n
3347,3509.2,5647.6,5826.9,5976,6138.1,6274.2,6525.4,7000.2,7163.4,7286.3,7496.2,7648.8,7765.2,7947,8096.8,8252.9,NaN,NaN,8570.3,NaN,8761.1,8915,9077.2,9290.5,9411.9,9521.5,9722.1,9851.9,9963,10140,10288,10451,10541,10771,NaN,10961,11114,11283,11491,11615,11734,11942,12085,12199,12383,12537,12713
3404.4,3630.9,5691.7,5912.7,6057.6,6204.1,6452.3,6628.2,7066.7,7233.2,7403,7566.1,7721,7881.6,8049.7,8193.8,NaN,NaN,8501.5,NaN,8711.9,8864.4,9008.6,9251.6,9360.4,9484.3,9640,9808.9,9923.6,10083,10240,10386,10512,10694,NaN,10915,11057,11209,11451,11564,11689,11850,12012,12162,12318,12477,12636,12785
